SKU,Product Name,Description,VMS Cost,V.S.P.,1/5/2019,1/12/2019,1/19/2019,1/26/2019,2/2/2019,2/9/2019,2/16/2019,2/23/2019,TOTAL,TOTAL JAN,TOTAL FEB,AVG. WEEK,1/5/2019,1/12/2019,1/19/2019,1/26/2019,2/2/2019,2/9/2019,2/16/2019,2/23/2019,TOTAL,AVG. WEEK,1/5/2019,1/12/2019,1/19/2019,1/26/2019,2/2/2019,2/9/2019,2/16/2019,2/23/2019,TOTAL,AVG. WEEK,1/5/2019,1/12/2019,1/19/2019,1/26/2019,2/2/2019,2/9/2019,2/16/2019,2/23/2019,TOTAL,AVG. WEEK,1/5/2019,1/12/2019,1/19/2019,1/26/2019,2/2/2019,2/9/2019,2/16/2019,2/23/2019,TOTAL,AVG. WEEK,1/5/2019,1/12/2019,1/19/2019,1/26/2019,2/2/2019,2/9/2019,2/16/2019,2/23/2019,TOTAL,AVG. WEEK,1/5/2019,1/12/2019,1/19/2019,1/26/2019,2/2/2019,2/9/2019,2/16/2019,2/23/2019,TOTAL,AVG. WEEK,1/5/2019,1/12/2019,1/19/2019,1/26/2019,2/2/2019,2/9/2019,2/16/2019,2/23/2019,TOTAL,AVG. WEEK,1/5/2019,1/12/2019,1/19/2019,1/26/2019,2/2/2019,2/9/2019,2/16/2019,2/23/2019,TOTAL,AVG. WEEK,1/5/2019,1/12/2019,1/19/2019,1/26/2019,2/2/2019,2/9/2019,2/16/2019,2/23/2019,TOTAL,AVG. WEEK,1/5/2019,1/12/2019,1/19/2019,1/26/2019,2/2/2019,2/9/2019,2/16/2019,2/23/2019,TOTAL,AVG. WEEK,1/5/2019,1/12/2019,1/19/2019,1/26/2019,2/2/2019,2/9/2019,2/16/2019,2/23/2019,TOTAL,AVG. WEEK,1/5/2019,1/12/2019,1/19/2019,1/26/2019,2/2/2019,2/9/2019,2/16/2019,2/23/2019,TOTAL,AVG. WEEK
,,,,,ALL STORES,,,,,,,,,,,,DCC (Deira City Centre - Dubai)-401,,,,,,,,,,AUH (Abu Dhabi Mall - Abu Dhabi)-402,,,,,,,,,,MER (Mercato Mall - Dubai)-404,,,,,,,,,,MOE  (Mall Of Emirates - Dubai)-405,,,,,,,,,,MCC (Mirdif City Center - Dubai)-412,,,,,,,,,,TDM (The Dubai Mall - Dubai )-416,,,,,,,,,,AWM (Al Wahda Mall - Abu Dhabi)-417,,,,,,,,,,DMM (Dubai Marina Mall - Dubai)-423,,,,,,,,,,YAS (YAS Mall - Abu Dhabi)-424,,,,,,,,,,ARD (Arabian Ranches - Dubai)-425,,,,,,,,,,JIMI (Al Jimi Mall - Al Ain)-426,,,,,,,,,,SAHA (Sahara Centre - Sharjah)-429,,,,,,,,,
734873,WXBV-01        ,BASEUS BV WIRELESS CHARGER BLACK                                                                              ,44.5,99,1,1,0,0,0,0,,,2,2,0,0.333333333,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,,,1,0.166666667,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,0,,,1,0.166666667,0,0,0,0,0,0,,,0,0
734874,WXBV-02        ,BASEUS BV WIRELESS CHARGER WHITE                                                                              ,44.5,99,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0
734875,WXBV-03        ,BASEUS BV WIRELESS CHARGER BLUE                                                                               ,44.5,99,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0
734876,CCALL-JK01     ,BASEUS SIMPLE WIRELESS CHARGER BLACK                                                                          ,54.5,119,0,0,0,0,1,0,,,1,1,0,0.166666667,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,1,0,,,1,0.166666667,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0
734877,CCALL-JK02     ,BASEUS SIMPLE WIRELESS CHARGER WHITE                                                                          ,54.5,119,3,0,0,0,0,0,,,3,3,0,0.5,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,3,0,0,0,0,0,,,3,0.5,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0
734878,CCALL-AJK01    ,BASEUS SIMPLE WIRELESS CHARGER TRANSPARENT                                                                    ,54.5,119,1,0,0,0,0,0,,,1,1,0,0.166666667,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,,,1,0.166666667,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0
734879,WXXHJ-B01      ,BASEUS DUAL WIRELESS CHARGER BLACK +WALL CHARGER & CABLE                                                      ,139.5,289,4,0,1,0,0,0,,,5,5,0,0.833333333,0,0,0,0,0,0,,,0,0,2,0,0,0,0,0,,,2,0.333333333,0,0,0,0,0,0,,,0,0,0,0,1,0,0,0,,,1,0.166666667,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,2,0,0,0,0,0,,,2,0.333333333,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0
734880,WXXHJ-B0S      ,BASEUS DUAL WIRELESS CHARGER SILVER +WALL CHARGER & CABLE                                                     ,139.5,289,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,-1,0,,,-1,-0.166666667,0,0,0,0,1,0,,,1,0.166666667,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0
734881,WX2IN1-02      ,BASEUS SMART 2 IN 1 WIRELESS CHARGER WHITE                                                                    ,84.5,179,2,7,7,3,0,2,,,21,19,2,3.5,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,5,3,2,2,,,12,2,0,1,0,0,0,0,,,1,0.166666667,2,6,1,0,0,0,,,9,1.5,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0,-2,0,,,-1,-0.166666667,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0
734882,PPALL-AKU01    ,BASEUS MINI CU DIGITAL DISPLAY POWER BANK 10000MAH BLACK                                                      ,64.5,139,3,0,1,0,0,0,,,4,4,0,0.666666667,0,0,0,0,0,0,,,0,0,0,0,1,0,0,0,,,1,0.166666667,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,,,1,0.166666667,0,0,0,0,0,0,,,0,0,2,0,0,0,0,0,,,2,0.333333333,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0
