24/11/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sku,401.Quantit,401.Sales Quantity,401.Sales Value,402.Quantit,402.Sales Quantity,402.Sales Value,404.Quantit,404.Sales Quantity,404.Sales Value,405.Quantit,405.Sales Quantity,405.Sales Value,412.Quantit,412.Sales Quantity,412.Sales Value,416.Quantit,416.Sales Quantity,416.Sales Value,417.Quantit,417.Sales Quantity,417.Sales Value,423.Quantit,423.Sales Quantity,423.Sales Value,424.Quantit,424.Sales Quantity,424.Sales Value,425.Quantit,425.Sales Quantity,425.Sales Value,426.Quantit,426.Sales Quantity,426.Sales Value,429.Quantit,429.Sales Quantity,429.Sales Value,444.Quantit,444.Sales Quantity,444.Sales Value,490.Quantit,490.Sales Quantity,490.Sales Value,TTL Sold Qty,TTL Value,SOH
734893,4,0,0,2,0,0,4,0,0,6,0,0,4,0,0,6,0,0,2,0,0,4,0,0,6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,41
734894,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,6,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
734895,3,1,99,2,0,0,4,0,0,5,1,99,4,0,0,5,1,99,2,0,0,4,0,0,6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,297,38
734896,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,5,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
734897,0,0,0,1,0,0,0,0,0,6,0,0,3,0,0,5,1,109,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109,25
734898,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,5,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
734899,3,0,0,2,0,0,1,0,0,4,0,0,2,0,0,2,0,0,2,0,0,1,0,0,6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,26
734900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734902,4,0,0,2,0,0,3,0,0,6,0,0,4,0,0,6,0,0,3,0,0,3,0,0,6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,40
734903,3,0,0,4,0,0,2,0,0,5,0,0,4,0,0,6,0,0,2,0,0,3,0,0,5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,37
734904,5,0,0,1,0,0,3,1,129,10,0,0,2,0,0,5,0,0,1,0,0,1,1,129,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,258,35
734905,4,0,0,2,0,0,4,0,0,6,0,0,4,0,0,6,0,0,2,0,0,4,0,0,5,1,239,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,239,40
734906,10,0,0,5,1,109,10,0,0,15,0,0,10,0,0,15,0,0,6,0,0,10,0,0,15,0,0,6,0,0,6,0,0,6,0,0,0,0,0,0,0,0,1,109,114
734907,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,0,0,0,2,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,9
