Sku,UPC,Catalogue N,Title,Label,Arq COST,Cost Price,V.S.P.,Latest SOH,01-2019 total sale of Goods,02-2019 total sale of Goods,03-2019 total sale of Goods,04-2019 total sale of Goods,05-2019 total sale of Goods,06-2019 total sale of Goods,07-2019 total sale of Goods,08-2019 total sale of Goods,09-2019 total sale of Goods,Existence on Shop,3 months avrage sale,Stock Status,profit,Profit status,Final Status,Non Moving Action,Reordering
734903,6953156276420,CAHUB-B0G      ,BASEUS THUNDERBOLT C+ DUAL TYPE-C TO USB3.0/HDMI/TYPE-C FEMALE HUB CONVERTER DEEP SPACE GRAY                  ,BASEUS                        ,79.89,124.5,259,1,5,1,3,2,6,0,0,0,0,0 month,0,Non moving,0,Run out of stock,Non moving - Run out of stock,-,-
734904,6953156278622,CAHUB-D0G      ,BASEUS CUBE TYPE-C TO USB3.0X3+USB2.0X2 HUB ADAPTER DARK GRAY                                                 ,BASEUS                        ,27,59.5,129,0,8,7,5,3,0,0,1,0,0,0 month,0.33,Run out of stock,10.725,Less profitable,Run out of stock - Less profitable,-,Stop Ordering
734905,6953156278639,CAHUB-E0G      ,BASEUS LITTLE BOX TYPE-C TO HDMI+TYPE-C PD MINI HD SMART HUB CONVERTER DARK GRAY                              ,BASEUS                        ,55.7,114.5,239,0,0,0,0,0,0,0,0,0,0,0 month,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734906,6953156265608,SGAPIPHX-TZ01  ,BASEUS GLASS FILM SET BLACK FOR IPHONE X                                                                      ,BASEUS                        ,11.77,49.5,109,1,0,1,14,14,6,15,2,15,1,0 month,6,Slow moving,226.38,Most profitable,Slow moving - Most profitable,-,-
734907,6953156255814,SUGENT-ATR01   ,BASEUS CURVE MAGNET CAR MOUNT                                                                                 ,BASEUS                        ,11,24.5,49,0,0,0,2,0,0,0,0,0,0,0 month,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734909,6953156253025,SUER-A01       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET BLACK                                                     ,BASEUS                        ,11.76,24.5,49,-1,3,6,11,8,5,15,4,6,3,0 month,4.33,Slow moving,55.1642,Profitable,Slow moving - Profitable,-,-
734910,6953156253049,SUER-A0R       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET ROSE GOLD                                                 ,BASEUS                        ,11.11,24.5,49,1,2,1,1,0,0,1,0,0,1,Min 3 months,0.33,Non moving,4.4187,Less profitable,Non moving - Less profitable,Buying Price,-
734911,6953156253032,SUER-A0S       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET ROSE SILVER                                               ,BASEUS                        ,12.05,24.5,49,4,4,5,9,10,4,4,0,2,0,0 month,0.67,Non moving,8.3415,Less profitable,Non moving - Less profitable,-,-
734912,6953156259362,SUER-A09       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET ROSE RED                                                  ,BASEUS                        ,11.11,24.5,49,0,1,2,0,0,2,1,0,0,0,0 month,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734913,6953156253056,SUER-A0V       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET ROSE GOLD                                                 ,BASEUS                        ,11.11,19.5,39,1,3,0,6,1,0,4,2,1,0,Min 3 months,1,Slow moving,8.39,Less profitable,Slow moving - Less profitable,-,-
