Sku,UPC,Catalogue N,Label,Arq COST,Cost Price,V.S.P.,Latest SOH,01-2019: QTY SOLD,01-2019: QTY SOLDArqoob Cost,01-2019: QTY SOLDQTY SOLD VALUE,02-2019: QTY SOLD,02-2019: QTY SOLDArqoob Cost,02-2019: QTY SOLDQTY SOLD VALUE,03-2019: QTY SOLD,03-2019: QTY SOLDArqoob Cost,03-2019: QTY SOLDQTY SOLD VALUE,04-2019: QTY SOLD,04-2019: QTY SOLDArqoob Cost,04-2019: QTY SOLDQTY SOLD VALUE,05-2019: QTY SOLD,05-2019: QTY SOLDArqoob Cost,05-2019: QTY SOLDQTY SOLD VALUE,06-2019: QTY SOLD,06-2019: QTY SOLDArqoob Cost,06-2019: QTY SOLDQTY SOLD VALUE,07-2019: QTY SOLD,07-2019: QTY SOLDArqoob Cost,07-2019: QTY SOLDQTY SOLD VALUE,08-2019: QTY SOLD,08-2019: QTY SOLDArqoob Cost,08-2019: QTY SOLDQTY SOLD VALUE,09-2019: QTY SOLD,09-2019: QTY SOLDArqoob Cost,09-2019: QTY SOLDQTY SOLD VALUE,Total Qty Sold,Total Arghoob Cost,Total Arqhoob Price,Qty Avg Day,Qty Avg Month,Value Avg Month,Qty Stock Value,Days Stock in Hand,Current stock cover upto (Week),Current stock cover upto (Month),Current stock cover upto (Date)
734943,6953156281363,TZARGS-01      ,BASEUS                        ,7.61,24.5,49,2,14,106.54,343.0,15,114.15,367.5,11,83.71,269.5,11,83.71,269.5,6,45.66,147.0,1,7.61,24.5,1,7.61,24.5,0,0.0,0.0,0,0.0,0.0,59.0,448.99,1445.5,0.22,6.56,160.61,49.0,9.09,1.0,0.0,2019-09-24
734944,6953156281387,TZARGS-G2      ,BASEUS                        ,7.61,24.5,49,1,11,83.71,269.5,3,22.83,73.5,6,45.66,147.0,3,22.83,73.5,2,15.22,49.0,0,0.0,0.0,1,7.61,24.5,0,0.0,0.0,0,0.0,0.0,26.0,197.86,637.0,0.1,2.89,70.78,24.5,10.0,1.0,0.0,2019-09-25
734945,6953156280250,CCALL-YX01     ,BASEUS                        ,11.14,39.5,79,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
734947,6953156280267,CCALL-YX02     ,BASEUS                        ,11.14,39.5,79,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
734948,6953156276673,ACSR-MS01      ,BASEUS                        ,24.14,49.5,109,0,7,168.98,346.5,2,48.28,99.0,6,144.84,297.0,4,96.56,198.0,3,72.42,148.5,2,48.28,99.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,24.0,579.36,1188.0,0.09,2.67,132.0,0.0,0.0,0.0,0.0,
734966,6953156282032,WIAPIPH61-BE01 ,BASEUS                        ,7.84,24.5,49,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
734968,6953156282049,WIAPIPH61-BE04 ,BASEUS                        ,7.84,24.5,49,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
734970,6953156282056,WIAPIPH61-BE08 ,BASEUS                        ,7.84,24.5,49,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
734971,6953156282063,WIAPIPH65-BE01 ,BASEUS                        ,7.62,24.5,49,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
734973,6953156282070,WIAPIPH65-BE04 ,BASEUS                        ,7.62,24.5,49,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
