Sku,UPC,Catalogue N,Title,Label,Arq COST,Cost Price,V.S.P.,Latest SOH,01-2019 total sale of Goods,02-2019 total sale of Goods,03-2019 total sale of Goods,04-2019 total sale of Goods,05-2019 total sale of Goods,06-2019 total sale of Goods,07-2019 total sale of Goods,08-2019 total sale of Goods,09-2019 total sale of Goods,Existence on Shop,3 months avrage sale,Stock Status,profit,Profit status,Final Status,Non Moving Action,Reordering
738078,6.95316E+12,ACSLCJ-06      ,BASEUS GRENADE BLACK/ARMY GREEN GRIP FOR SMARTPHONES                                                          ,BASEUS                        ,9.51,24.5,49,14,89,35,30,29,31,38,25,18,1,0 month,14.67,Fast moving,219.9033,Most profitable,Fast moving - Most profitable,-,Profitable - Reorder
751059,6.95316E+12,ACPBCJ-02      ,BASEUS SHOOTING GAME TOOL FOR PAD TRANSPARENT                                                                 ,BASEUS                        ,9.51,34.5,69,7,0,10,25,22,19,13,11,12,2,0 month,8.33,Fast moving,208.1667,Profitable,Fast moving - Profitable,-,-
758126,6.95316E+12,CATL45-01      ,BASEUS AUDIO CONVERTER CATL45                                                                                 ,BASEUS                        ,9.66,29.5,62,9,0,0,0,2,13,8,8,6,1,0 month,5,Slow moving,99.2,Profitable,Slow moving - Profitable,-,-
758233,6.95316E+12,SGAPIPH58-WA01 ,BASEUS FULL-SCREEN CURVED TEMPERED GLASS SCREEN PROTECTOR BLACK FOR IPHONE XS/X                               ,BASEUS                        ,9.66,40,83,6,0,0,0,0,10,23,26,12,0,0 month,12.67,Fast moving,384.4078,Most profitable,Fast moving - Most profitable,-,Profitable - Reorder
758127,6.95316E+12,CATL41-01      ,BASEUS TYPE-C TO 3.5MM AUDIO CHARGING ADAPTER BLACK                                                           ,BASEUS                        ,9.9,29.5,62,0,0,0,0,0,0,0,0,0,0,0 month,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734915,6.95316E+12,SUCH-02        ,BASEUS XIAOCHUN MAGNETIC CAR PHONE HOLDER SILVER                                                              ,BASEUS                        ,10.2,24.5,49,0,1,0,0,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734914,6.95316E+12,SUCH-01        ,BASEUS XIAOCHUN MAGNETIC CAR PHONE HOLDER BLACK                                                               ,BASEUS                        ,10.26,19.5,39,0,1,0,2,0,1,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
758234,6.95316E+12,SGAPIPH65-WA01 ,BASEUS FULL-SCREEN CURVED TEMPERED GLASS SCREEN PROTECTOR BLACK FOR IPHONE XS MAX                             ,BASEUS                        ,10.26,40,83,6,0,0,0,0,2,14,7,0,0,0 month,2.33,Slow moving,69.2942,Profitable,Slow moving - Profitable,-,-
734907,6.95316E+12,SUGENT-ATR01   ,BASEUS CURVE MAGNET CAR MOUNT                                                                                 ,BASEUS                        ,11,24.5,49,0,0,0,2,0,0,0,0,0,0,0 month,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734910,6.95316E+12,SUER-A0R       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET ROSE GOLD                                                 ,BASEUS                        ,11.11,24.5,49,1,2,1,1,0,0,1,0,0,1,Min 3 months,0.33,Non moving,4.4187,Less profitable,Non moving - Less profitable,Buying Price,-
734912,6.95316E+12,SUER-A09       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET ROSE RED                                                  ,BASEUS                        ,11.11,24.5,49,0,1,2,0,0,2,1,0,0,0,0 month,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734913,6.95316E+12,SUER-A0V       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET ROSE GOLD                                                 ,BASEUS                        ,11.11,19.5,39,1,3,0,6,1,0,4,2,1,0,Min 3 months,1,Slow moving,8.39,Less profitable,Slow moving - Less profitable,-,-
734945,6.95316E+12,CCALL-YX01     ,BASEUS Y TYPE DUAL USB+ CAR CHARGER BLACK                                                                     ,BASEUS                        ,11.14,39.5,79,0,0,0,0,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734947,6.95316E+12,CCALL-YX02     ,BASEUS Y TYPE DUAL USB+ CAR CHARGER WHITE                                                                     ,BASEUS                        ,11.14,39.5,79,0,0,0,0,0,0,0,0,0,0,0 month,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734925,6.95316E+12,SUGX-A09       ,BASEUS MAGNETIC AIR VENT CAR MOUNT HOLDER WITH CABLE CLIP RED                                                 ,BASEUS                        ,11.65,29.5,59,0,0,0,0,0,0,0,0,0,0,0 month,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734926,6.95316E+12,SUGX-A0S       ,BASEUS MAGNETIC AIR VENT CAR MOUNT HOLDER WITH CABLE CLIP SILVER                                              ,BASEUS                        ,11.7,24.5,49,0,0,0,0,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
743953,6.95316E+12,WIAPIPH58-ASL01,BASEUS ORIGINAL LSR CASE BLACK FOR IPHONE XS                                                                  ,BASEUS                        ,11.7,34.5,69,2,16,18,24,26,17,4,1,2,0,0 month,1,Slow moving,22.8,Less profitable,Slow moving - Less profitable,-,-
734909,6.95316E+12,SUER-A01       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET BLACK                                                     ,BASEUS                        ,11.76,24.5,49,-1,3,6,11,8,5,15,4,6,3,0 month,4.33,Slow moving,55.1642,Profitable,Slow moving - Profitable,-,-
734924,6.95316E+12,SUGX-A0V       ,BASEUS MAGNETIC AIR VENT CAR MOUNT HOLDER WITH CABLE CLIP GOLD                                                ,BASEUS                        ,11.76,29.5,59,0,0,0,0,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734927,6.95316E+12,SUER-B01       ,BASEUS SMALL EARS VERTICAL MAGNETIC BRACKET BLACK                                                             ,BASEUS                        ,11.76,24.5,49,7,12,12,16,21,21,11,6,1,0,0 month,2.33,Slow moving,29.6842,Less profitable,Slow moving - Less profitable,-,-
734928,6.95316E+12,SUER-B0S       ,BASEUS SMALL EARS VERTICAL MAGNETIC BRACKET ROSE SILVER                                                       ,BASEUS                        ,11.76,24,49,13,1,2,10,5,6,12,28,8,0,Min 3 months,12,Fast moving,146.88,Profitable,Fast moving - Profitable,-,-
734929,6.95316E+12,SUER-B09       ,BASEUS SMALL EARS VERTICAL MAGNETIC BRACKET ROSE RED                                                          ,BASEUS                        ,11.76,24.5,49,0,4,2,7,2,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
735669,6.95316E+12,SUER-B0R       ,BASEUS SMALL EARS VERTICAL MAGNETIC BRACKET ROSE GOLD                                                         ,BASEUS                        ,11.76,24.5,49,0,0,3,2,2,0,2,0,0,0,0 month,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734906,6.95316E+12,SGAPIPHX-TZ01  ,BASEUS GLASS FILM SET BLACK FOR IPHONE X                                                                      ,BASEUS                        ,11.77,49.5,109,1,0,1,14,14,6,15,2,15,1,0 month,6,Slow moving,226.38,Most profitable,Slow moving - Most profitable,-,-
743960,6.95316E+12,WIAPIPH65-ASL01,BASEUS ORIGINAL LSR CASE BLACK FOR IPHONE XS MAX                                                              ,BASEUS                        ,11.99,34.5,69,2,11,12,11,8,9,8,2,3,1,0 month,2,Slow moving,45.02,Profitable,Slow moving - Profitable,-,-
743961,6.95316E+12,WIAPIPH65-ASL03,BASEUS ORIGINAL LSR CASE LIGHT AQUA MARINE FOR IPHONE XS MAX                                                  ,BASEUS                        ,11.99,34.5,69,1,3,5,2,3,1,0,1,0,0,Min 3 months,0.33,Non moving,7.4283,Less profitable,Non moving - Less profitable,Buying Price,-
743963,6.95316E+12,WIAPIPH65-ASL04,BASEUS ORIGINAL LSR CASE PINK FOR IPHONE XS MAX                                                               ,BASEUS                        ,11.99,34.5,69,0,5,4,4,4,3,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
743965,6.95316E+12,WIAPIPH65-ASL09,BASEUS ORIGINAL LSR CASE RED FOR IPHONE XS MAX                                                                ,BASEUS                        ,11.99,34.5,69,0,2,3,6,0,0,0,0,0,0,0 month,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
758231,7.4479E+12,BHL-715        ,BRAVE 2-IN-1 UNIVERSAL MAGNETIC HOLDER                                                                        ,BRAVEN                        ,12,30,62,19,0,0,0,0,33,50,34,29,7,0 month,23.33,Fast moving,419.94,Most profitable,Fast moving - Most profitable,-,Profitable - Reorder
734911,6.95316E+12,SUER-A0S       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET ROSE SILVER                                               ,BASEUS                        ,12.05,24.5,49,4,4,5,9,10,4,4,0,2,0,0 month,0.67,Non moving,8.3415,Less profitable,Non moving - Less profitable,-,-
734923,6.95316E+12,SUGX-A01       ,BASEUS MAGNETIC AIR VENT CAR MOUNT HOLDER WITH CABLE CLIP BLACK                                               ,BASEUS                        ,12.05,29.5,59,0,0,0,0,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734930,6.95316E+12,SUER-B0V       ,BASEUS SMALL EARS VERTICAL MAGNETIC BRACKET ROSE GOLD                                                         ,BASEUS                        ,12.05,24.5,49,5,5,5,0,9,4,5,6,5,1,0 month,4,Slow moving,49.8,Profitable,Slow moving - Profitable,-,-
742245,6.95316E+12,CAHUB-F02      ,BASEUS ROUND BOX USB 3.0 HUB ADAPTER WHITE                                                                    ,BASEUS                        ,12.31,29.5,59,0,0,0,0,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
743955,6.95316E+12,WIAPIPH58-ASL03,BASEUS ORIGINAL LSR CASE LIGHT AQUA MARINE FOR IPHONE XS                                                      ,BASEUS                        ,12.38,34.5,69,1,15,7,10,12,8,5,7,2,2,0 month,3.67,Slow moving,81.1804,Profitable,Slow moving - Profitable,-,-
743958,6.95316E+12,WIAPIPH58-ASL09,BASEUS ORIGINAL LSR CASE RED FOR IPHONE XS                                                                    ,BASEUS                        ,12.38,34.5,69,2,10,5,9,5,3,3,7,0,0,Min 3 months,2.33,Slow moving,51.5396,Profitable,Slow moving - Profitable,-,-
738071,6.95316E+12,SUXUN-BY0G     ,BASEUS FRAGRANCE/CAR MOUNT GREY                                                                               ,BASEUS                        ,12.62,24.5,49,0,2,0,0,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
738072,6.95316E+12,SUXUN-BY09     ,BASEUS FRAGRANCE/CAR MOUNT RED                                                                                ,BASEUS                        ,12.62,24.5,49,0,2,0,0,0,1,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
738073,6.95316E+12,SUXUN-BY01     ,BASEUS FRAGRANCE/CAR MOUNT BLACK                                                                              ,BASEUS                        ,12.63,19.5,39,0,1,0,2,1,0,0,0,0,0,0 month,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
743956,6.95316E+12,WIAPIPH58-ASL04,BASEUS ORIGINAL LSR CASE PINK FOR IPHONE XS                                                                   ,BASEUS                        ,12.68,34.5,69,0,16,5,16,12,13,2,1,2,0,0 month,1,Run out of stock,21.82,Less profitable,Run out of stock - Less profitable,-,Stop Ordering
742244,6.95316E+12,CAHUB-F01      ,BASEUS ROUND BOX USB 3.0 HUB ADAPTER BLACK                                                                    ,BASEUS                        ,12.71,29.5,59,2,1,3,1,2,0,1,0,0,0,Min 3 months,0,Non moving,0,Run out of stock,Non moving - Run out of stock,Buying Price,-
742247,6.95316E+12,CAHUB-G01      ,BASEUS ROUND BOX TYPE-C HUB ADAPTER BLACK                                                                     ,BASEUS                        ,12.71,29.5,59,0,0,1,4,3,2,2,0,1,0,Min 3 months,0.33,Run out of stock,5.5407,Less profitable,Run out of stock - Less profitable,-,Stop Ordering
746700,7.4479E+11,BHL-713        ,BRAVE 2-IN-1 UNIVERSAL MAGNETIC HOLDER                                                                        ,BRAVE                         ,12.81,29.5,59,16,12,18,14,44,30,47,40,42,9,Min 3 months,30.33,Fast moving,506.2077,Most profitable,Fast moving - Most profitable,-,Profitable - Reorder
746699,7.4479E+11,BHL-712        ,BRAVE LOTTO SERIES MAGNETIC CAR MOUNTS                                                                        ,BRAVE                         ,12.99,34.5,69,16,6,13,16,21,5,10,30,18,7,0 month,18.33,Fast moving,394.2783,Most profitable,Fast moving - Most profitable,-,Profitable - Reorder
751060,6.95316E+12,SGAPWA4-A01    ,BASEUS 0.3MM FULL-SCREEN CURVED TEMPERED FILM BLACK FOR APPLE WATCH SERIES 4 40MM                             ,BASEUS                        ,13.19,29.5,59,6,0,21,40,30,16,6,2,3,0,0 month,1.67,Slow moving,27.2377,Less profitable,Slow moving - Less profitable,-,-
762683,7.4479E+12,BCC-36W        ,BRAVE 2-PORT TYPE-C & QUICK CHARGE CAR CHARGER                                                                ,BASEUS                        ,13.44,45,89,11,0,0,0,0,11,17,20,8,0,Min 3 months,9.33,Fast moving,294.4548,Most profitable,Fast moving - Most profitable,-,Profitable - Reorder
734916,6.95316E+12,SUHS-DP01      ,BASEUS DOUBLE CLIP HORIZONTAL VEHICLE MOUNT BLACK                                                             ,BASEUS                        ,13.48,24.5,49,0,5,1,4,1,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734917,6.95316E+12,SUHS-DP0S      ,BASEUS DOUBLE CLIP HORIZONTAL VEHICLE MOUNT SILVER                                                            ,BASEUS                        ,13.51,24.5,49,0,3,2,0,0,0,0,0,0,0,0 month,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734920,6.95316E+12,SUYZD-01       ,BASEUS BULLET ON-BOARD CAR MAGNETIC BRACKET BLACK                                                             ,BASEUS                        ,13.62,34.5,69,6,11,11,19,26,28,23,30,22,5,0 month,19,Fast moving,396.72,Most profitable,Fast moving - Most profitable,-,Profitable - Reorder
734921,6.95316E+12,SUYZD-09       ,BASEUS BULLET ON-BOARD CAR MAGNETIC BRACKET RED                                                               ,BASEUS                        ,13.95,34.5,69,8,8,2,5,8,6,5,9,1,0,Min 3 months,3.33,Slow moving,68.4315,Profitable,Slow moving - Profitable,-,-
734922,6.95316E+12,SUYZD-0S       ,BASEUS BULLET ON-BOARD CAR MAGNETIC BRACKET SILVER                                                            ,BASEUS                        ,13.95,34.5,69,21,11,4,22,18,9,8,14,11,3,0 month,9.33,Fast moving,191.7315,Profitable,Fast moving - Profitable,-,-
751063,6.95316E+12,SGAPWA4-B01    ,BASEUS 0.3MM FULL-SCREEN CURVED TEMPERED FILM BLACK FOR APPLE WATCH SERIES 4 44MM                             ,BASEUS                        ,13.95,29.5,59,4,0,37,52,11,6,0,0,0,1,Min 3 months,0.33,Non moving,5.1315,Less profitable,Non moving - Less profitable,Buying Price,-
758228,6.95316E+12,SUHZ-01        ,BASEUS BACK SEAT CAR MOUNT BLACK                                                                              ,BASEUS                        ,14,35,73,6,0,0,0,0,2,14,16,1,0,Min 3 months,5.67,Slow moving,119.07,Profitable,Slow moving - Profitable,-,-
758229,6.95316E+12,SUHZ-2S        ,BASEUS BACK SEAT CAR MOUNT SILVER                                                                             ,BASEUS                        ,14,35,73,0,0,0,0,0,0,0,0,0,0,0 month,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734976,6.95316E+12,CALEYE-01      ,BASEUS BIG EYE DIGITAL DISPLAY LIGHTNING CABLE BLACK                                                          ,BASEUS                        ,14.32,39.5,79,0,0,0,0,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734981,6.95316E+12,CALEYE-02      ,BASEUS BIG EYE DIGITAL DISPLAY LIGHTNING CABLE WHITE                                                          ,BASEUS                        ,14.32,39.5,79,0,0,0,0,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
762679,6.95316E+12,CATYW-B01      ,BASEUS ARTISTIC STRIPED TYPE-C 3A CABLE 5M BLACK                                                              ,BASEUS                        ,14.39,40,79,17,0,0,0,0,5,10,8,5,1,Min 3 months,4.67,Slow moving,119.5987,Profitable,Slow moving - Profitable,-,-
762680,6.95316E+12,CATYW-B09      ,BASEUS ARTISTIC STRIPED TYPE-C 3A CABLE 5M RED                                                                ,BASEUS                        ,14.39,40,79,4,0,0,0,0,0,4,3,0,1,Min 3 months,1.33,Slow moving,34.0613,Profitable,Slow moving - Profitable,-,-
762678,6.95316E+12,CATYW-B03      ,BASEUS ARTISTIC STRIPED TYPE-C 3A CABLE 5M BLUE                                                               ,BASEUS                        ,14.404375,40,79,5,0,0,0,0,0,3,1,1,0,Min 3 months,0.67,Non moving,17.14906875,Less profitable,Non moving - Less profitable,Buying Price,-
742292,6.95316E+12,SGAPIPD-CX02   ,BASEUS 0.3MM TEMPERED GLASS FILM TRANSPARENT FOR IPAD PRO 11-INCH                                             ,BASEUS                        ,14.43490654,39.5,79,0,7,2,4,-1,0,0,-1,0,0,0 month,-0.33,Run out of stock,-8.271480841,Less profitable,Run out of stock - Less profitable,-,Stop Ordering
742300,6.95316E+12,ACPCL-01       ,BASEUS GOLDEN CUDGEL CAPACITIVE STYLUS BLACK                                                                  ,BASEUS                        ,14.4749711,29.5,59,12,12,9,18,18,15,7,8,16,2,0 month,8.67,Fast moving,130.2670006,Profitable,Fast moving - Profitable,-,-
676641,7.4479E+12,BDC-480 SILVER ,BRAVE MFI LIGHTNING CABLE 1M SILVER                                                                           ,BRAVE                         ,15.43,29.5,59,24,0,0,0,0,0,5,33,22,2,Min 3 months,19,Fast moving,267.33,Most profitable,Fast moving - Most profitable,-,Profitable - Reorder
