PERIODE DU 11/08/19 AU 17/08/19
Sku;UPC;Catalogue N›;Title;Label;Cost Price;V.S.P.;301.Quantit;301.Sales Quantity;301.Sales Value;302.Quantit;302.Sales Quantity;302.Sales Value;303.Quantit;303.Sales Quantity;303.Sales Value;304.Quantit;304.Sales Quantity;304.Sales Value;305.Quantit;305.Sales Quantity;305.Sales Value;306.Quantit;306.Sales Quantity;306.Sales Value;307.Quantit;307.Sales Quantity;307.Sales Value;322.Quantit;322.Sales Quantity;322.Sales Value;390.Quantit;390.Sales Quantity;390.Sales Value;398.Quantit;398.Sales Quantity;398.Sales Value;399.Quantit;399.Sales Quantity;399.Sales Value
663501;6953156293267;NGW01-01       ;BASEUS ENCOK W01 BLACK TRUE WIRELESS IN-EAR EARPHONES                                                         ;BASEUS                        ;00000119.5000;00000239.0000;00000009.0000;00000000.0000;00000000.0000;00000006.0000;00000001.0000;00000239.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000005.0000;00000002.0000;00000478.0000;00000005.0000;00000003.0000;00000717.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
665858;6953156293274;NGW01-02       ;BASEUS ENCOK W01 WHITE TRUE WIRELESS IN-EAR EARPHONES                                                         ;BASEUS                        ;00000119.5000;00000239.0000;00000009.0000;00000001.0000;00000239.0000;00000008.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000007.0000;00000000.0000;00000000.0000;00000008.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
665859;6953156293243;NGA03-01       ;BASEUS ENCOK A03 BLACK WIRELESS IN-EAR EARPHONES                                                              ;BASEUS                        ;00000074.5000;00000149.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
665860;6953156293250;NGA03-02       ;BASEUS ENCOK A03 WHITE WIRELESS IN-EAR EARPHONES                                                              ;BASEUS                        ;00000074.5000;00000149.0000;00000010.0000;00000000.0000;00000000.0000;00000007.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000007.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
665862;6953156294073;WXYDIW02-01    ;BASEUS DOTTER BLACK WIRELESS CHARGER FOR APPLE WATCH                                                          ;BASEUS                        ;00000054.5000;00000109.0000;00000008.0000;00000001.0000;00000109.0000;00000004.0000;00000001.0000;00000109.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000004.0000;00000002.0000;00000218.0000;00000001.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
671807;6953156294080;WXYDIW02-02    ;BASEUS DOTTER WHITE WIRELESS CHARGER FOR APPLE WATCH                                                          ;BASEUS                        ;00000054.5000;00000109.0000;00000002.0000;00000000.0000;00000000.0000;00000003.0000;00000001.0000;00000109.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000007.0000;00000000.0000;00000000.0000;00000004.0000;00000001.0000;00000109.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
671812;6953156292079;PPLG-01        ;BASEUS AMBLIGHT 30000MAH POWER BANK BLACK                                                                     ;BASEUS                        ;00000149.5000;00000299.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
674011;6953156286504;SUDYZP-D19     ;BASEUS FULLY FOLDING SELFIE STICK BLACK/RED                                                                   ;BASEUS                        ;00000079.5000;00000159.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
676636;6953156286498;SUDYZP-D1S     ;BASEUS FULLY FOLDING SELFIE STICK BLACK/SLIVER                                                                ;BASEUS                        ;00000079.5000;00000159.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000001.0000;00000159.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000002.0000;00000000.0000;00000000.0000;00000000.0000;00000001.0000;00000159.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
676638;6953156286481;SUDYZP-D1V     ;BASEUS FULLY FOLDING SELFIE STICK BLACK/GOLD                                                                  ;BASEUS                        ;00000079.5000;00000159.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
676641;7447902860074;BDC-480 SILVER ;BRAVE MFI LIGHTNING CABLE 1M SILVER                                                                           ;BRAVE                         ;00000034.5000;00000069.0000;00000007.0000;00000002.0000;00000138.0000;00000006.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000008.0000;00000000.0000;00000000.0000;00000005.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
676642;7447902862818;BDC-480 BLACK  ;BRAVE MFI LIGHTNING CABLE 1M BLACK                                                                            ;BRAVE                         ;00000034.5000;00000069.0000;00000009.0000;00000001.0000;00000069.0000;00000006.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000008.0000;00000000.0000;00000000.0000;00000002.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
734836;6953156281479;WXZN-01        ;BASEUS CAR WIRELESS CHARGER SMART VEHICLE BRACKET                                                             ;BASEUS                        ;00000074.5000;00000149.0000;00000004.0000;00000000.0000;00000000.0000;00000007.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000005.0000;00000000.0000;00000000.0000;00000003.0000;00000001.0000;00000149.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
734837;6953156282964;ACHDCJ-01      ;BASEUS HOLDER RED-DOT MOBILE GAME SCORING TOOL BLACK                                                          ;BASEUS                        ;00000024.5000;00000049.0000;00000015.0000;00000002.0000;00000098.0000;00000002.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000006.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
734838;6953156282971;ACHDCJ-02      ;BASEUS HOLDER RED-DOT MOBILE GAME SCORING TOOL TRANSPARENT                                                    ;BASEUS                        ;00000024.5000;00000049.0000;00000004.0000;00000000.0000;00000000.0000;00000010.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000008.0000;00000000.0000;00000000.0000;00000008.0000;00000004.0000;00000196.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
734867;6953156273887;NGW02-01       ;BASEUS ENCOK W02 TWS TRULY WIRELESS HEADSET BLACK                                                             ;BASEUS                        ;00000109.5000;00000219.0000;00000001.0000;00000000.0000;00000000.0000;00000001.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000003.0000;00000000.0000;00000000.0000;00000003.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
734868;6953156273894;NGW02-02       ;BASEUS ENCOK W02 TWS TRULY WIRELESS HEADSET WHITE                                                             ;BASEUS                        ;00000109.5000;00000219.0000;00000007.0000;00000000.0000;00000000.0000;00000002.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000001.0000;00000001.0000;00000219.0000;00000000.0000;00000000.0000;00000000.0000;00000002.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
734881;6953156280243;WX2IN1-02      ;BASEUS SMART 2 IN 1 WIRELESS CHARGER WHITE                                                                    ;BASEUS                        ;00000089.5000;00000179.0000;00000003.0000;00000000.0000;00000000.0000;00000005.0000;00000001.0000;00000179.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000005.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
