PERIODE DU 17/02/19 AU 23/02/19,,,,,,,Villagio,,,LMK,,,MOQ,,,DHFC,,,TTL Sold Qty,TTL Sold Value,
Sku,UPC,Catalogue N›,Title,Label,Cost Price,V.S.P.,301.Quantit,301.Sales Quantity,301.Sales Value,302.Quantit,302.Sales Quantity,302.Sales Value,306.Quantit,306.Sales Quantity,306.Sales Value,307.Quantit,307.Sales Quantity,307.Sales Value,,,
734942,6.95E+12,TZARGS-09      ,BASEUS CASE FOR AIRPODS RED                                                                                   ,BASEUS                        ,24.5,49,5,0,0,3,0,0,4,0,0,1,0,0,0,0,13
734943,6.95E+12,TZARGS-01      ,BASEUS CASE FOR AIRPODS BLACK                                                                                 ,BASEUS                        ,24.5,49,8,1,49,4,1,49,5,0,0,4,0,0,2,98,21
734944,6.95E+12,TZARGS-G2      ,BASEUS CASE FOR AIRPODS GRAY                                                                                  ,BASEUS                        ,24.5,49,10,0,0,3,3,147,6,0,0,4,0,0,3,147,23
734948,6.95E+12,ACSR-MS01      ,BASEUS MAGIC MONSTER GAMEPAD STYLE POWER BANK 2000MAH                                                         ,BASEUS                        ,54.5,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
738078,6.95E+12,ACSLCJ-06      ,BASEUS GRENADE BLACK/ARMY GREEN GRIP FOR SMARTPHONES                                                          ,BASEUS                        ,24.5,49,26,1,49,19,0,0,19,0,0,20,0,0,1,49,84
739727,6.95E+12,WIAPPOD-01     ,BASEUS PROTECTIVE CASE/WIRELESS CHARGER BLACK FOR AIRPODS                                                     ,BASEUS                        ,49.5,99,17,3,297,15,0,0,14,0,0,13,0,0,3,297,59
739728,6.95E+12,WIAPPOD-09     ,BASEUS PROTECTIVE CASE/WIRELESS CHARGER RED FOR AIRPODS                                                       ,BASEUS                        ,49.5,99,9,1,99,5,0,0,5,1,99,5,0,0,2,198,24
742248,6.95E+12,ACSLCJ-01      ,BASEUS GRENADE BLACK GRIP FOR SMARTPHONES                                                                     ,BASEUS                        ,24.5,49,16,2,98,11,0,0,13,2,98,14,1,49,5,245,54
742249,6.95E+12,SUCJLF-01      ,BASEUS WINNER COOLING HEAT SINK BLACK FOR SMARTPHONES                                                         ,BASEUS                        ,49.5,99,4,1,99,3,0,0,4,0,0,4,0,0,1,99,15
742292,6.95E+12,SGAPIPD-CX02   ,BASEUS 0.3MM TEMPERED GLASS FILM TRANSPARENT FOR IPAD PRO 11-INCH                                             ,BASEUS                        ,39.5,79,10,0,0,5,1,79,5,0,0,2,0,0,1,79,22
742293,6.95E+12,SGAPIPD-DX02   ,BASEUS 0.3MM ANTI-BLUE LIGHT TEMPERED GLASS FILM TRANSPARENT FOR IPAD PRO 11-INCH                             ,BASEUS                        ,49.5,99,6,0,0,4,0,0,3,0,0,4,0,0,0,0,17
742294,6.95E+12,LTAPIPD-ASM03  ,BASEUS SIMPLISM Y-TYPE LEATHER CASE BLUE FOR IPAD PRO 11-INCH                                                 ,BASEUS                        ,79.5,159,9,1,159,5,0,0,6,0,0,4,1,159,2,318,24
742296,6.95E+12,SUGENT-XF01    ,BASEUS SUSPENSION GLASS DESKTOP BRACKET BLACK FOR SMARTPHONES                                                 ,BASEUS                        ,39.5,79,6,0,0,3,1,79,4,0,0,4,0,0,1,79,17
742298,6.95E+12,ACAPIPHX-BJ01  ,BASEUS PLAID BLACK 3500MAH POWER BANK FOR IPHONE X                                                            ,BASEUS                        ,94.5,189,4,0,0,0,1,189,0,1,189,2,1,189,3,567,6
742300,6.95E+12,ACPCL-01       ,BASEUS GOLDEN CUDGEL CAPACITIVE STYLUS BLACK                                                                  ,BASEUS                        ,29.5,59,6,1,59,2,2,118,3,1,59,5,0,0,4,236,16
743939,6.95E+12,NGH08-01       ,BASEUS H08 BLACK IMMERSIVE VIRTUAL 3D GAMING IN-EAR EARPHONES                                                 ,BASEUS                        ,144.5,289,6,0,0,4,0,0,2,0,0,3,1,289,1,289,15
743955,6.95E+12,WIAPIPH58-ASL03,BASEUS ORIGINAL LSR CASE LIGHT AQUA MARINE FOR IPHONE XS                                                      ,BASEUS                        ,34.5,69,6,0,0,3,0,0,4,0,0,0,0,0,0,0,13
743956,6.95E+12,WIAPIPH58-ASL04,BASEUS ORIGINAL LSR CASE PINK FOR IPHONE XS                                                                   ,BASEUS                        ,34.5,69,3,2,138,0,4,276,1,1,69,0,0,0,7,483,4
743968,6.95E+12,SUCJG9-02      ,BASEUS G9 MOBILE GAME SCORING TOOL WHITE FOR SMARTPHONES/TABLET                                               ,BASEUS                        ,24.5,49,20,0,0,8,5,245,14,0,0,13,1,49,6,294,55
743975,6.95E+12,SUCJG9-01      ,BASEUS G9 MOBILE GAME SCORING TOOL BLACK FOR SMARTPHONES/TABLET                                               ,BASEUS                        ,24.5,49,7,2,98,2,1,49,6,0,0,5,0,0,3,147,20
,,,,,,,298,24,1986,181,31,2089,208,13,1157,184,17,1873,85,7105,
